Platform,Year,Genre,north_america_sales,europe_sales,japan_sales,Other_Sales,Global_Sales
PSP,2006,Strategy,0.18,0.0,0.0,0.02,0.2
Wii,2010,Strategy,0.15,0.04,0.0,0.02,0.2
PS4,2016,Action,0.02,0.06,0.11,0.02,0.2
NG,1995,Fighting,0.0,0.0,0.2,0.0,0.2
DS,2009,Simulation,0.19,0.0,0.0,0.01,0.2
GBA,2002,Misc,0.15,0.05,0.0,0.0,0.2
Wii,2010,Sports,0.19,0.0,0.0,0.01,0.2
PS3,2007,Role-Playing,0.17,0.01,0.0,0.02,0.2
GBA,2004,Action,0.15,0.05,0.0,0.0,0.2
Wii,2011,Fighting,0.11,0.07,0.0,0.02,0.2
GB,2000,Strategy,0.0,0.0,0.2,0.0,0.2
PSP,2008,Misc,0.19,0.0,0.0,0.02,0.2
X360,2011,Misc,0.19,0.0,0.0,0.01,0.2
DS,2009,Adventure,0.07,0.11,0.0,0.02,0.2
XOne,2014,Sports,0.17,0.02,0.0,0.02,0.2
PS2,2004,Fighting,0.1,0.08,0.0,0.03,0.2
3DS,2011,Action,0.16,0.03,0.0,0.01,0.2
SNES,1995,Strategy,0.0,0.0,0.2,0.0,0.2
PS2,2005,Sports,0.1,0.08,0.0,0.03,0.2
XB,2001,Racing,0.15,0.04,0.0,0.01,0.2
Wii,2009,Action,0.17,0.02,0.0,0.02,0.2
DS,2009,Puzzle,0.0,0.0,0.2,0.0,0.2
X360,2010,Simulation,0.11,0.08,0.0,0.02,0.2
Wii,2009,Sports,0.14,0.04,0.0,0.02,0.2
PS2,2007,Action,0.0,0.0,0.2,0.0,0.2
PS2,2008,Misc,0.0,0.02,0.0,0.19,0.2
PC,2011,Role-Playing,0.09,0.09,0.0,0.03,0.2
PS2,2005,Strategy,0.06,0.05,0.07,0.02,0.2
XB,2005,Sports,0.15,0.04,0.0,0.01,0.2
PS3,2011,Sports,0.15,0.03,0.0,0.02,0.2
PS3,2006,Simulation,0.06,0.0,0.14,0.01,0.2
DC,2000,Role-Playing,0.0,0.0,0.2,0.0,0.2
XB,2002,Racing,0.14,0.04,0.02,0.01,0.2
X360,2008,Role-Playing,0.16,0.02,0.01,0.02,0.2
Wii,2011,Misc,0.0,0.17,0.0,0.03,0.2
XB,2006,Racing,0.15,0.04,0.0,0.01,0.2
PS2,2000,Sports,0.0,0.0,0.2,0.0,0.2
PC,2011,Shooter,0.09,0.09,0.0,0.03,0.2
GBA,2005,Misc,0.15,0.05,0.0,0.0,0.2
PS2,2005,Misc,0.1,0.08,0.0,0.03,0.2
SNES,1994,Racing,0.0,0.0,0.2,0.0,0.2
PSP,2012,Role-Playing,0.0,0.0,0.2,0.0,0.2
PS3,2013,Role-Playing,0.05,0.05,0.09,0.02,0.2
PS3,2014,Role-Playing,0.06,0.05,0.08,0.02,0.2
Wii,2009,Misc,0.0,0.19,0.0,0.01,0.2
PS2,2008,Sports,0.1,0.08,0.0,0.03,0.2
PS2,2006,Fighting,0.1,0.08,0.0,0.03,0.2
PS2,2003,Sports,0.0,0.0,0.2,0.0,0.2
PS3,2011,Fighting,0.04,0.05,0.1,0.02,0.2
3DS,2012,Fighting,0.06,0.08,0.05,0.01,0.2
DS,2008,Misc,0.0,0.2,0.0,0.0,0.2
X360,2011,Misc,0.17,0.02,0.0,0.01,0.2
PSP,2010,Sports,0.19,0.0,0.0,0.02,0.2
XOne,2015,Strategy,0.14,0.05,0.0,0.02,0.2
X360,2009,Sports,0.0,0.19,0.0,0.01,0.2
PS2,2004,Racing,0.1,0.08,0.0,0.03,0.2
GC,2005,Misc,0.16,0.04,0.0,0.01,0.2
SAT,1996,Strategy,0.0,0.0,0.2,0.0,0.2
NG,1994,Fighting,0.0,0.0,0.2,0.0,0.2
XB,2002,Sports,0.15,0.04,0.0,0.01,0.2
Wii,2009,Action,0.13,0.03,0.03,0.02,0.2
Wii,2009,Role-Playing,0.16,0.02,0.0,0.02,0.2
PS3,2011,Shooter,0.06,0.04,0.08,0.02,0.2
PS2,2004,Platform,0.1,0.08,0.0,0.03,0.2
DS,2009,Role-Playing,0.16,0.03,0.0,0.02,0.2
GC,2003,Fighting,0.0,0.0,0.2,0.01,0.2
PC,2015,Action,0.1,0.08,0.0,0.02,0.2
GBA,2003,Sports,0.14,0.05,0.0,0.0,0.2
PS2,2001,Racing,0.09,0.07,0.02,0.02,0.2
PC,2016,Strategy,0.09,0.1,0.0,0.02,0.2
PS3,2010,Sports,0.0,0.15,0.0,0.05,0.2
PS2,2004,Sports,0.1,0.08,0.0,0.03,0.2
Wii,2009,Misc,0.17,0.02,0.0,0.01,0.2
PS2,2000,Fighting,0.0,0.0,0.2,0.0,0.2
PS3,2011,Action,0.0,0.03,0.16,0.01,0.2
PS3,2007,Shooter,0.17,0.01,0.0,0.02,0.2
GBA,2003,Simulation,0.14,0.05,0.0,0.0,0.2
PS3,2011,Action,0.1,0.07,0.0,0.03,0.2
PSV,2012,Sports,0.18,0.0,0.0,0.02,0.2
GC,2004,Platform,0.16,0.04,0.0,0.01,0.2
PS4,2016,Sports,0.13,0.04,0.0,0.04,0.2
SAT,1996,Shooter,0.0,0.0,0.2,0.0,0.2
DS,2011,Simulation,0.13,0.06,0.0,0.02,0.2
PSP,2012,Action,0.0,0.0,0.2,0.0,0.2
XB,2002,Sports,0.15,0.04,0.0,0.01,0.2
GBA,2003,Platform,0.14,0.05,0.0,0.0,0.2
PSP,2011,Role-Playing,0.0,0.0,0.2,0.0,0.2
XB,2006,Racing,0.15,0.04,0.0,0.01,0.2
PS2,2003,Misc,0.0,0.0,0.2,0.0,0.2
DS,2009,Simulation,0.19,0.0,0.0,0.01,0.2
GC,2002,Racing,0.16,0.04,0.0,0.01,0.2
PSP,2008,Action,0.02,0.0,0.18,0.0,0.2
PS2,2005,Shooter,0.1,0.08,0.0,0.03,0.2
GBA,2001,Sports,0.14,0.05,0.0,0.0,0.2
PS,1996,Role-Playing,0.06,0.04,0.09,0.01,0.2
X360,2005,Racing,0.1,0.02,0.07,0.01,0.2
PS4,2013,Strategy,0.1,0.08,0.0,0.03,0.2
DS,2009,Misc,0.19,0.0,0.0,0.01,0.2
DS,2009,Misc,0.19,0.0,0.0,0.01,0.2
DS,2009,Simulation,0.19,0.0,0.0,0.01,0.2
X360,2010,Shooter,0.1,0.07,0.02,0.02,0.2
X360,2010,Misc,0.1,0.08,0.0,0.02,0.2
PS,1997,Shooter,0.11,0.08,0.0,0.01,0.2
X360,2007,Racing,0.18,0.0,0.0,0.02,0.2
PS3,2009,Action,0.12,0.05,0.0,0.03,0.2
PS2,2009,Misc,0.1,0.08,0.0,0.03,0.2
X360,2012,Simulation,0.14,0.04,0.01,0.02,0.2
GC,2004,Platform,0.15,0.04,0.0,0.01,0.2
PS,1998,Racing,0.11,0.08,0.0,0.01,0.2
PSP,2011,Role-Playing,0.0,0.0,0.2,0.0,0.2
PS3,2010,Action,0.1,0.04,0.04,0.02,0.2
DS,2010,Puzzle,0.07,0.11,0.0,0.02,0.2
XOne,2015,Action,0.1,0.09,0.0,0.02,0.2
WiiU,2013,Fighting,0.1,0.08,0.0,0.02,0.2
XB,2003,Sports,0.15,0.04,0.0,0.01,0.2
DS,2010,Adventure,0.13,0.06,0.0,0.02,0.2
PC,2004,Shooter,0.06,0.12,0.0,0.02,0.2
PS2,2003,Sports,0.1,0.08,0.0,0.03,0.2
XB,2005,Action,0.15,0.04,0.0,0.01,0.2
N64,2000,Platform,0.16,0.04,0.0,0.0,0.2
N64,1999,Racing,0.06,0.13,0.0,0.01,0.2
N64,1997,Puzzle,0.13,0.02,0.05,0.0,0.2
N64,1998,Sports,0.16,0.04,0.0,0.0,0.2
N64,2000,Platform,0.16,0.04,0.0,0.0,0.2
N64,2000,Racing,0.16,0.04,0.0,0.0,0.2
N64,1998,Shooter,0.16,0.04,0.0,0.0,0.2
N64,2000,Racing,0.16,0.04,0.0,0.0,0.2
N64,1999,Strategy,0.0,0.0,0.2,0.0,0.2
N64,1996,Sports,0.16,0.04,0.0,0.0,0.2
PSP,2006,Sports,0.18,0.0,0.0,0.02,0.2
XB,2003,Racing,0.15,0.04,0.0,0.01,0.2
PSP,2010,Role-Playing,0.0,0.0,0.2,0.0,0.2
DS,2011,Simulation,0.14,0.04,0.0,0.02,0.2
3DS,2012,Action,0.16,0.0,0.03,0.01,0.2
DS,2008,Action,0.16,0.03,0.0,0.02,0.2
PSP,2005,Fighting,0.18,0.0,0.0,0.02,0.2
PS4,2015,Sports,0.09,0.08,0.0,0.03,0.2
PS2,2002,Misc,0.0,0.0,0.2,0.0,0.2
GBA,2005,Misc,0.14,0.05,0.0,0.0,0.2
PS2,2008,Racing,0.1,0.08,0.0,0.03,0.2
PS3,2013,Role-Playing,0.06,0.02,0.1,0.01,0.2
PS,1999,Strategy,0.0,0.0,0.19,0.01,0.2
Wii,2010,Racing,0.15,0.04,0.0,0.01,0.2
Wii,2010,Misc,0.0,0.17,0.0,0.03,0.2
PS3,2011,Sports,0.08,0.09,0.0,0.04,0.2
PC,2012,Strategy,0.07,0.1,0.0,0.03,0.2
PS2,2009,Sports,0.1,0.08,0.0,0.03,0.2
XB,2002,Sports,0.15,0.04,0.0,0.01,0.2
SNES,1996,Role-Playing,0.0,0.0,0.2,0.0,0.2
PS3,2006,Role-Playing,0.14,0.02,0.02,0.02,0.2
XB,2005,Action,0.15,0.04,0.0,0.01,0.2
SAT,1994,Shooter,0.0,0.0,0.2,0.0,0.2
PS3,2013,Sports,0.0,0.0,0.2,0.0,0.2
Wii,2009,Action,0.14,0.04,0.0,0.02,0.2
PS4,2016,Shooter,0.05,0.11,0.01,0.03,0.2
PS3,2010,Simulation,0.12,0.05,0.0,0.02,0.2
PS2,2007,Sports,0.1,0.08,0.0,0.03,0.2
DC,2000,Role-Playing,0.0,0.0,0.2,0.0,0.2
PS,1996,Misc,0.02,0.01,0.16,0.01,0.2
DS,2008,Misc,0.18,0.0,0.0,0.01,0.2
Wii,2011,Sports,0.12,0.06,0.0,0.02,0.2
X360,2014,Adventure,0.05,0.13,0.0,0.02,0.2
XB,2004,Action,0.15,0.04,0.0,0.01,0.2
GC,2004,Sports,0.15,0.04,0.0,0.01,0.2
PSP,2013,Sports,0.0,0.0,0.2,0.0,0.2
PS2,2005,Action,0.1,0.08,0.0,0.03,0.2
DS,2008,Misc,0.0,0.2,0.0,0.0,0.2
X360,2007,Shooter,0.18,0.01,0.0,0.01,0.2
PSV,2011,Racing,0.04,0.08,0.05,0.03,0.2
DS,2008,Role-Playing,0.1,0.02,0.07,0.01,0.2
PS2,2003,Strategy,0.1,0.08,0.0,0.03,0.2
Wii,2011,Misc,0.19,0.0,0.0,0.01,0.2
XB,2001,Sports,0.15,0.04,0.0,0.01,0.2
DS,2009,Simulation,0.18,0.0,0.0,0.01,0.2
PSP,2012,Sports,0.0,0.0,0.2,0.0,0.2
3DS,2016,Action,0.0,0.0,0.2,0.0,0.2
GC,2002,Platform,0.15,0.04,0.0,0.01,0.2
X360,2008,Role-Playing,0.18,0.0,0.01,0.01,0.2
X360,2008,Racing,0.12,0.06,0.0,0.02,0.2
PSP,2007,Strategy,0.16,0.01,0.0,0.02,0.2
PS2,2004,Misc,0.0,0.0,0.2,0.0,0.2
PS2,2004,Misc,0.1,0.08,0.0,0.03,0.2
X360,2008,Misc,0.18,0.0,0.0,0.01,0.2
PSP,2005,Action,0.17,0.01,0.0,0.02,0.2
PS,1995,Puzzle,0.11,0.07,0.0,0.01,0.2
PC,2014,Role-Playing,0.07,0.1,0.0,0.02,0.2
PSP,2006,Shooter,0.17,0.01,0.0,0.02,0.2
XB,2003,Puzzle,0.15,0.04,0.0,0.01,0.2
PS3,2006,Simulation,0.09,0.0,0.09,0.01,0.2
XOne,2014,Action,0.1,0.09,0.0,0.02,0.2
PS2,2004,Action,0.1,0.08,0.0,0.03,0.2
SNES,1991,Sports,0.0,0.0,0.2,0.0,0.2
Wii,2008,Sports,0.18,0.0,0.0,0.01,0.2
WiiU,2013,Action,0.07,0.08,0.03,0.01,0.2
Wii,2009,Simulation,0.18,0.0,0.0,0.01,0.2
PS2,2002,Racing,0.1,0.08,0.0,0.03,0.2
PSP,2006,Puzzle,0.18,0.0,0.0,0.01,0.2
Wii,2011,Racing,0.18,0.0,0.0,0.01,0.2
GBA,2003,Sports,0.14,0.05,0.0,0.0,0.2
PS2,2005,Simulation,0.1,0.08,0.0,0.03,0.2
PSP,2010,Sports,0.0,0.0,0.2,0.0,0.2
Wii,2008,Role-Playing,0.08,0.0,0.11,0.01,0.2
PSP,2011,Role-Playing,0.0,0.0,0.2,0.0,0.2
PS,2002,Action,0.0,0.0,0.18,0.01,0.2
PSP,2005,Sports,0.18,0.0,0.0,0.01,0.2
X360,2007,Action,0.16,0.02,0.0,0.02,0.2
GBA,2007,Action,0.14,0.05,0.0,0.0,0.2
GBA,2002,Platform,0.14,0.05,0.0,0.0,0.2
X360,2007,Action,0.17,0.01,0.0,0.02,0.2
GC,2004,Misc,0.15,0.04,0.0,0.01,0.2
XB,2002,Adventure,0.15,0.04,0.0,0.01,0.2
PS,2000,Action,0.11,0.07,0.0,0.01,0.2
GBA,2001,Action,0.14,0.05,0.0,0.0,0.2
DS,2008,Puzzle,0.05,0.13,0.0,0.02,0.2
DS,2009,Action,0.15,0.03,0.0,0.02,0.2
PSP,2011,Sports,0.0,0.0,0.2,0.0,0.2
DS,2006,Misc,0.0,0.0,0.2,0.0,0.2
XB,2002,Role-Playing,0.15,0.04,0.0,0.01,0.2
PSP,2006,Action,0.18,0.0,0.0,0.02,0.2
GC,2004,Action,0.15,0.04,0.0,0.01,0.2
XB,2002,Fighting,0.14,0.05,0.0,0.01,0.2
3DS,2012,Role-Playing,0.0,0.0,0.2,0.0,0.2
Wii,2011,Action,0.15,0.03,0.0,0.01,0.2
3DS,2016,Platform,0.13,0.0,0.05,0.02,0.2
PS2,2005,Action,0.1,0.07,0.0,0.03,0.2
Wii,2009,Action,0.15,0.0,0.03,0.01,0.2
3DS,2012,Action,0.18,0.0,0.0,0.01,0.2
PS2,2005,Racing,0.1,0.07,0.0,0.03,0.2
PC,2009,Adventure,0.0,0.17,0.0,0.03,0.2
DS,2008,Misc,0.18,0.0,0.0,0.01,0.2
PSV,2013,Role-Playing,0.06,0.03,0.08,0.02,0.2
PS4,2015,Shooter,0.04,0.12,0.0,0.03,0.2
PS2,2001,Sports,0.1,0.07,0.0,0.02,0.2
PS2,2008,Role-Playing,0.07,0.05,0.05,0.02,0.2
PS2,2003,Action,0.1,0.07,0.0,0.02,0.2
GBA,2002,Misc,0.14,0.05,0.0,0.0,0.2
DS,2008,Role-Playing,0.16,0.0,0.02,0.01,0.19
PS3,2012,Racing,0.02,0.13,0.0,0.04,0.19
DS,2008,Simulation,0.18,0.0,0.0,0.01,0.19
Wii,2008,Shooter,0.18,0.0,0.0,0.01,0.19
PS3,2008,Role-Playing,0.05,0.12,0.0,0.03,0.19
XB,2002,Racing,0.15,0.04,0.0,0.01,0.19
PS2,2005,Misc,0.1,0.07,0.0,0.02,0.19
GBA,2003,Platform,0.14,0.05,0.0,0.0,0.19
PS2,2006,Fighting,0.07,0.06,0.04,0.02,0.19
WiiU,2012,Action,0.15,0.03,0.0,0.02,0.19
PC,2013,Action,0.06,0.11,0.0,0.02,0.19
PS,1996,Fighting,0.0,0.0,0.18,0.01,0.19
X360,2012,Action,0.11,0.06,0.01,0.02,0.19
PS4,2014,Role-Playing,0.07,0.08,0.0,0.04,0.19
X360,2008,Shooter,0.08,0.09,0.0,0.02,0.19
PS3,2010,Action,0.1,0.07,0.0,0.03,0.19
PS3,2009,Action,0.13,0.04,0.0,0.02,0.19
PS2,2005,Shooter,0.1,0.07,0.0,0.02,0.19
Wii,2009,Role-Playing,0.13,0.0,0.06,0.01,0.19
Wii,2009,Misc,0.18,0.0,0.0,0.01,0.19
DS,2005,Action,0.0,0.0,0.19,0.0,0.19
X360,2008,Action,0.07,0.03,0.08,0.01,0.19
DS,2009,Simulation,0.18,0.0,0.0,0.01,0.19
SNES,1996,Misc,0.0,0.0,0.19,0.0,0.19
GBA,2001,Role-Playing,0.14,0.05,0.0,0.0,0.19
Wii,2008,Action,0.17,0.01,0.0,0.01,0.19
PSP,2012,Misc,0.0,0.0,0.19,0.0,0.19
PC,2010,Shooter,0.0,0.17,0.0,0.02,0.19
GC,2006,Platform,0.15,0.04,0.0,0.01,0.19
PSP,2011,Adventure,0.0,0.0,0.19,0.0,0.19
X360,2006,Role-Playing,0.16,0.02,0.0,0.02,0.19
GBA,2002,Action,0.14,0.05,0.0,0.0,0.19
DS,2009,Sports,0.0,0.0,0.19,0.0,0.19
PS,1997,Sports,0.0,0.0,0.18,0.01,0.19
PC,2015,Simulation,0.05,0.13,0.0,0.01,0.19
SNES,1993,Misc,0.0,0.0,0.19,0.0,0.19
3DS,2011,Misc,0.1,0.04,0.04,0.01,0.19
PS3,2010,Shooter,0.05,0.09,0.02,0.03,0.19
XB,2004,Action,0.14,0.04,0.0,0.01,0.19
PS2,2002,Sports,0.09,0.07,0.0,0.02,0.19
PS3,2011,Simulation,0.1,0.06,0.0,0.03,0.19
Wii,2011,Misc,0.14,0.04,0.0,0.01,0.19
DS,2009,Misc,0.18,0.0,0.0,0.01,0.19
DS,2010,Misc,0.11,0.07,0.0,0.02,0.19
DS,2008,Role-Playing,0.11,0.02,0.05,0.01,0.19
PSP,2005,Action,0.16,0.01,0.0,0.02,0.19
DS,2009,Shooter,0.17,0.01,0.0,0.01,0.19
PSP,2009,Action,0.13,0.03,0.0,0.03,0.19
3DS,2015,Action,0.0,0.0,0.19,0.0,0.19
DS,2010,Puzzle,0.01,0.16,0.0,0.02,0.19
SNES,1996,Sports,0.0,0.0,0.19,0.0,0.19
X360,2009,Role-Playing,0.07,0.11,0.0,0.01,0.19
DS,2010,Adventure,0.06,0.11,0.0,0.02,0.19
3DS,2012,Simulation,0.0,0.0,0.19,0.0,0.19
X360,2006,Role-Playing,0.17,0.01,0.0,0.01,0.19
PS2,2002,Role-Playing,0.09,0.07,0.0,0.02,0.19
N64,1996,Sports,0.0,0.0,0.19,0.0,0.19
PSP,2010,Action,0.12,0.03,0.01,0.03,0.19
PS3,2010,Platform,0.16,0.02,0.0,0.02,0.19
PS3,2009,Misc,0.18,0.0,0.0,0.01,0.19
PS2,2003,Strategy,0.0,0.0,0.19,0.0,0.19
PS,1998,Racing,0.11,0.07,0.0,0.01,0.19
PSV,2013,Role-Playing,0.13,0.0,0.04,0.02,0.19
PS,1996,Shooter,0.11,0.07,0.0,0.01,0.19
PC,2010,Strategy,0.0,0.15,0.0,0.04,0.19
X360,2010,Misc,0.15,0.02,0.02,0.01,0.19
PS3,2009,Shooter,0.1,0.06,0.01,0.03,0.19
GC,2002,Adventure,0.15,0.04,0.0,0.01,0.19
3DS,2011,Action,0.09,0.09,0.0,0.02,0.19
Wii,2008,Racing,0.18,0.0,0.0,0.01,0.19
PS3,2008,Shooter,0.05,0.1,0.0,0.03,0.19
X360,2008,Fighting,0.15,0.02,0.0,0.02,0.19
PS3,2012,Sports,0.18,0.0,0.0,0.01,0.19
DS,2009,Role-Playing,0.16,0.02,0.0,0.01,0.19
Wii,2008,Adventure,0.17,0.01,0.0,0.01,0.19
PS2,2004,Racing,0.09,0.07,0.0,0.02,0.19
PS2,2003,Shooter,0.09,0.07,0.0,0.02,0.19
XB,2003,Action,0.14,0.04,0.0,0.01,0.19
3DS,2016,Simulation,0.0,0.0,0.19,0.0,0.19
Wii,2009,Action,0.18,0.0,0.0,0.01,0.19
X360,2010,Adventure,0.14,0.03,0.0,0.01,0.19
PS2,2004,Misc,0.09,0.07,0.0,0.02,0.19
GBA,2002,Role-Playing,0.0,0.0,0.19,0.0,0.19
DS,2010,Action,0.17,0.01,0.0,0.01,0.19
PS2,2003,Strategy,0.09,0.07,0.0,0.02,0.19
PS3,2011,Strategy,0.18,0.0,0.0,0.01,0.19
XOne,2013,Sports,0.16,0.02,0.0,0.01,0.19
PS2,2001,Shooter,0.09,0.07,0.0,0.02,0.19
GBA,2001,Sports,0.14,0.05,0.0,0.0,0.19
SNES,1996,Sports,0.0,0.0,0.19,0.0,0.19
DS,2010,Adventure,0.0,0.0,0.19,0.0,0.19
PS2,2003,Sports,0.09,0.07,0.0,0.02,0.19
PC,2013,Action,0.04,0.13,0.0,0.03,0.19
PS,1996,Strategy,0.11,0.07,0.0,0.01,0.19
PS,1999,Fighting,0.0,0.0,0.18,0.01,0.19
PS3,2013,Action,0.0,0.0,0.19,0.0,0.19
X360,2012,Action,0.09,0.07,0.02,0.02,0.19
PSP,2009,Simulation,0.08,0.07,0.0,0.04,0.19
XOne,2015,Simulation,0.1,0.07,0.0,0.02,0.19
PS3,2008,Simulation,0.06,0.02,0.1,0.01,0.19
DS,2008,Puzzle,0.15,0.03,0.0,0.01,0.19
Wii,2011,Misc,0.08,0.09,0.0,0.02,0.19
DS,2006,Fighting,0.02,0.01,0.16,0.0,0.19
SAT,1995,Simulation,0.0,0.0,0.19,0.0,0.19
PS2,2008,Misc,0.09,0.07,0.0,0.02,0.19
PS2,2008,Misc,0.09,0.07,0.0,0.02,0.19
PS,1998,Fighting,0.11,0.07,0.0,0.01,0.19
X360,2011,Action,0.15,0.03,0.0,0.01,0.19
PS2,2001,Misc,0.09,0.07,0.0,0.02,0.19
PSP,2005,Platform,0.17,0.0,0.0,0.01,0.19
PS3,2009,Racing,0.14,0.03,0.0,0.02,0.19
Wii,2011,Role-Playing,0.0,0.0,0.19,0.0,0.19
GBA,2004,Adventure,0.14,0.05,0.0,0.0,0.19
XB,2002,Sports,0.14,0.04,0.0,0.01,0.19
PSV,2016,Action,0.0,0.0,0.19,0.0,0.19
3DS,2011,Misc,0.13,0.05,0.0,0.02,0.19
PS2,2003,Misc,0.09,0.07,0.0,0.02,0.19
PC,2011,Racing,0.05,0.11,0.0,0.03,0.19
Wii,2009,Racing,0.18,0.0,0.0,0.01,0.19
GBA,2002,Adventure,0.14,0.05,0.0,0.0,0.19
XB,2004,Role-Playing,0.14,0.04,0.0,0.01,0.19
PS3,2011,Action,0.07,0.09,0.0,0.04,0.19
3DS,2012,Action,0.15,0.03,0.0,0.01,0.19
PSP,2009,Adventure,0.0,0.0,0.19,0.0,0.19
PSV,2014,Role-Playing,0.08,0.02,0.06,0.03,0.19
N64,1996,Shooter,0.15,0.04,0.0,0.0,0.19
N64,1997,Fighting,0.15,0.04,0.0,0.0,0.19
N64,1997,Action,0.15,0.04,0.0,0.0,0.19
N64,1997,Puzzle,0.0,0.0,0.16,0.03,0.19
N64,1996,Sports,0.0,0.0,0.19,0.0,0.19
N64,1998,Shooter,0.15,0.04,0.0,0.0,0.19
N64,1999,Misc,0.15,0.04,0.0,0.0,0.19
3DS,2015,Action,0.0,0.0,0.19,0.0,0.19
Wii,2009,Puzzle,0.18,0.0,0.0,0.01,0.19
DS,2008,Adventure,0.0,0.0,0.19,0.0,0.19
Wii,2009,Adventure,0.18,0.0,0.0,0.01,0.19
Wii,2011,Misc,0.13,0.04,0.0,0.01,0.19
GC,2004,Action,0.15,0.04,0.0,0.01,0.19
PC,2013,Action,0.11,0.06,0.0,0.02,0.19
XOne,2013,Fighting,0.11,0.07,0.0,0.02,0.19
PS2,2008,Sports,0.09,0.07,0.0,0.02,0.19
GBA,2002,Sports,0.14,0.05,0.0,0.0,0.19
PSP,2010,Action,0.0,0.0,0.19,0.0,0.19
PS,1996,Strategy,0.11,0.07,0.0,0.01,0.19
X360,2011,Action,0.1,0.06,0.01,0.02,0.19
PC,2010,Action,0.18,0.0,0.0,0.01,0.19
DS,2008,Sports,0.0,0.0,0.19,0.0,0.19
PS3,2011,Action,0.06,0.05,0.07,0.02,0.19
DS,2010,Misc,0.18,0.0,0.0,0.01,0.19
PS2,2000,Sports,0.09,0.07,0.0,0.02,0.19
GBA,2002,Role-Playing,0.14,0.05,0.0,0.0,0.19
PS2,2005,Shooter,0.09,0.07,0.0,0.02,0.19
PSV,2013,Role-Playing,0.04,0.01,0.12,0.01,0.19
Wii,2006,Misc,0.12,0.0,0.06,0.01,0.19
PS2,2006,Misc,0.0,0.0,0.19,0.0,0.19
PS3,2010,Sports,0.1,0.06,0.0,0.03,0.19
PS3,2010,Sports,0.11,0.05,0.0,0.03,0.19
GC,2003,Action,0.15,0.04,0.0,0.01,0.19
PS4,2016,Action,0.0,0.16,0.0,0.03,0.19
PS3,2011,Sports,0.11,0.05,0.0,0.03,0.19
Wii,2010,Sports,0.14,0.03,0.0,0.01,0.19
PS2,2007,Misc,0.09,0.07,0.0,0.02,0.19
PS2,2002,Shooter,0.09,0.07,0.0,0.02,0.19
PS2,2006,Role-Playing,0.0,0.0,0.19,0.0,0.19
PS2,2002,Sports,0.09,0.07,0.0,0.02,0.19
PSV,2015,Action,0.0,0.0,0.19,0.0,0.19
PS2,2004,Action,0.09,0.07,0.0,0.02,0.19
DS,2009,Sports,0.0,0.18,0.0,0.01,0.19
DS,2010,Adventure,0.05,0.12,0.0,0.02,0.19
GC,2006,Platform,0.15,0.04,0.0,0.01,0.19
2600,1981,Sports,0.18,0.01,0.0,0.0,0.19
Wii,2011,Misc,0.18,0.0,0.0,0.01,0.19
DS,2010,Puzzle,0.18,0.0,0.0,0.01,0.19
PS,1997,Strategy,0.0,0.0,0.18,0.01,0.19
PS,1999,Sports,0.1,0.07,0.0,0.01,0.19
GEN,1993,Strategy,0.0,0.0,0.19,0.0,0.19
PS,1999,Sports,0.0,0.0,0.18,0.01,0.19
XB,2004,Action,0.14,0.04,0.0,0.01,0.19
3DS,2011,Racing,0.18,0.0,0.0,0.01,0.19
PSV,2014,Role-Playing,0.0,0.0,0.19,0.0,0.19
DS,2006,Puzzle,0.0,0.0,0.19,0.0,0.19
X360,2007,Action,0.15,0.01,0.02,0.01,0.19
WiiU,2013,Misc,0.0,0.0,0.19,0.0,0.19
PS2,2009,Action,0.11,0.0,0.0,0.08,0.19
PS3,2010,Adventure,0.11,0.05,0.0,0.02,0.19
PS,1995,Sports,0.1,0.07,0.0,0.01,0.19
PC,2010,Role-Playing,0.09,0.08,0.0,0.02,0.19
Wii,2008,Action,0.17,0.01,0.0,0.01,0.19
X360,2012,Sports,0.0,0.16,0.0,0.02,0.19
PS2,2007,Sports,0.0,0.0,0.19,0.0,0.19
DS,2010,Puzzle,0.1,0.07,0.0,0.02,0.19
Wii,2007,Action,0.16,0.01,0.0,0.01,0.19
DS,2004,Misc,0.0,0.0,0.19,0.0,0.19
PS2,2005,Action,0.09,0.07,0.0,0.02,0.19
SNES,1993,Simulation,0.0,0.0,0.19,0.0,0.19
PC,2011,Racing,0.0,0.15,0.0,0.04,0.19
DS,2010,Misc,0.0,0.0,0.19,0.0,0.19
PS3,2013,Strategy,0.0,0.0,0.19,0.0,0.19
Wii,2010,Adventure,0.0,0.16,0.0,0.02,0.19
Wii,2009,Action,0.17,0.0,0.0,0.01,0.19
Wii,2011,Misc,0.0,0.17,0.0,0.02,0.19
DS,2007,Adventure,0.0,0.0,0.19,0.0,0.19
PS3,2008,Adventure,0.12,0.05,0.0,0.02,0.19
PS4,2014,Misc,0.0,0.16,0.0,0.03,0.19
Wii,2010,Sports,0.18,0.0,0.0,0.01,0.19
PSV,2015,Action,0.0,0.0,0.19,0.0,0.19
Wii,2007,Adventure,0.07,0.0,0.11,0.01,0.19
Wii,2010,Sports,0.18,0.0,0.0,0.01,0.19
GBA,2005,Platform,0.13,0.05,0.0,0.0,0.19
X360,2011,Shooter,0.1,0.05,0.03,0.01,0.19
DS,2007,Misc,0.0,0.0,0.19,0.0,0.19
PS,1994,Simulation,0.1,0.07,0.0,0.01,0.19
Wii,2007,Action,0.17,0.0,0.0,0.01,0.19
